id,source,model_name,author,license,original_url,download_allowed,modify_allowed,commercial_allowed,redistribution_allowed,ai_training_allowed,status,note
char_001,self_generated,char_001,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_002,self_generated,char_002,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_003,self_generated,char_003,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_004,self_generated,char_004,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_005,self_generated,char_005,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_006,self_generated,char_006,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_007,self_generated,char_007,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_008,self_generated,char_008,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_009,self_generated,char_009,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_010,self_generated,char_010,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_011,self_generated,char_011,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_012,self_generated,char_012,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_013,self_generated,char_013,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_014,self_generated,char_014,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_015,self_generated,char_015,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_016,self_generated,char_016,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_017,self_generated,char_017,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_018,self_generated,char_018,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_019,self_generated,char_019,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_020,self_generated,char_020,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_021,self_generated,char_021,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_022,self_generated,char_022,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_023,self_generated,char_023,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_024,self_generated,char_024,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_025,self_generated,char_025,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_026,self_generated,char_026,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_027,self_generated,char_027,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_028,self_generated,char_028,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_029,self_generated,char_029,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_030,self_generated,char_030,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_031,self_generated,char_031,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_032,self_generated,char_032,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_033,self_generated,char_033,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_034,self_generated,char_034,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_035,self_generated,char_035,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_036,self_generated,char_036,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_037,self_generated,char_037,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_038,self_generated,char_038,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_039,self_generated,char_039,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_040,self_generated,char_040,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_041,self_generated,char_041,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_042,self_generated,char_042,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_043,self_generated,char_043,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_044,self_generated,char_044,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_045,self_generated,char_045,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_046,self_generated,char_046,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_047,self_generated,char_047,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_048,self_generated,char_048,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_049,self_generated,char_049,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
char_050,self_generated,char_050,Nepho,self_owned,-,yes,yes,yes,yes,yes,accepted,original self-made model
